title,author,meta_description,description,posted_at,category,featured,status,priority
Google Chrome Cast 2 Black,Madhurhi Dixit,"To succeed, you need to find something to hold on to, something to motivate you, something to inspire you. Read more at: https://www.brainyquote.com/topics/inspire","To succeed, you need to find something to hold on to, something to motivate you, something to inspire you. Read more at: https://www.brainyquote.com/topics/inspire",1/2/13,NAIL SALON DUBAI,TRUE,published,2
Google Home Mini Smart Speaker G201AS2,Maneesha Koirala,"To succeed, you need to find something to hold on to, something to motivate you, something to inspire you. Read more at: https://www.brainyquote.com/topics/inspire","To succeed, you need to find something to hold on to, something to motivate you, something to inspire you. Read more at: https://www.brainyquote.com/topics/inspire",1/3/13,BEAUTY SALON DUBAI,FALSE,unpublished,3
Microsoft Surface Pro 4 Tablet,Vidya Balan,"To succeed, you need to find something to hold on to, something to motivate you, something to inspire you. Read more at: https://www.brainyquote.com/topics/inspire","To succeed, you need to find something to hold on to, something to motivate you, something to inspire you. Read more at: https://www.brainyquote.com/topics/inspire",1/4/13,DUBAI BEAUTY SALON DEALS,TRUE,published,1
Special fares with Kuwait Airways!,Mohanlal,Take advantage of low fares with Kuwait Airways to top destinations starting from AED 665!,Take advantage of low fares with Kuwait Airways to top destinations starting from AED 665!,1/5/13,BEST HAIR SALON DUBAI,FALSE,published,4
Pakistani airlines now available at tajawal! Book now!,Sreevidya,"Air Blue, Pakistan International Airlines and Shaheen Air are now available to book at tajawal!","Air Blue, Pakistan International Airlines and Shaheen Air are now available to book at tajawal!",1/6/13,DUBAI BEAUTY SALON DEALS,FALSE,published,4
Special DEEWALI Fares with Indian Airlines,Kamal Hassan,"Enjoy losing the sense of time and direction around the marvelous domes. Watch the seagulls search for food off the banks of the Bosporus, or cross over to the Asian side on the upper deck of a ship, while enjoying a cup of the famous Turkish tea.","Enjoy losing the sense of time and direction around the marvelous domes. Watch the seagulls search for food off the banks of the Bosporus, or cross over to the Asian side on the upper deck of a ship, while enjoying a cup of the famous Turkish tea.",1/7/13,DUBAI BEAUTY SALON PACKAGES,FALSE,published,4
,,,,,,,,
Google Chrome Cast 2 Black,Madhurhi Dixit,"To succeed, you need to find something to hold on to, something to motivate you, something to inspire you. Read more at: https://www.brainyquote.com/topics/inspire","To succeed, you need to find something to hold on to, something to motivate you, something to inspire you. Read more at: https://www.brainyquote.com/topics/inspire",1/2/13,BEST HAIR SALON DUBAI,TRUE,published,2
Google Home Mini Smart Speaker G201AS2,Maneesha Koirala,"To succeed, you need to find something to hold on to, something to motivate you, something to inspire you. Read more at: https://www.brainyquote.com/topics/inspire","To succeed, you need to find something to hold on to, something to motivate you, something to inspire you. Read more at: https://www.brainyquote.com/topics/inspire",1/3/13,DUBAI BEAUTY SALON DEALS,FALSE,unpublished,3
Microsoft Surface Pro 4 Tablet,Vidya Balan,"To succeed, you need to find something to hold on to, something to motivate you, something to inspire you. Read more at: https://www.brainyquote.com/topics/inspire","To succeed, you need to find something to hold on to, something to motivate you, something to inspire you. Read more at: https://www.brainyquote.com/topics/inspire",1/4/13,BEAUTY SALON DUBAI PRICE LIST,TRUE,published,1
Special fares with Kuwait Airways!,Mohanlal,Take advantage of low fares with Kuwait Airways to top destinations starting from AED 665!,Take advantage of low fares with Kuwait Airways to top destinations starting from AED 665!,1/5/13,BEST HAIR SALON DUBAI,FALSE,published,4
Pakistani airlines now available at tajawal! Book now!,Sreevidya,"Air Blue, Pakistan International Airlines and Shaheen Air are now available to book at tajawal!","Air Blue, Pakistan International Airlines and Shaheen Air are now available to book at tajawal!",1/6/13,BEAUTY SALON DUBAI,FALSE,published,4
Special DEEWALI Fares with Indian Airlines,Kamal Hassan,"Enjoy losing the sense of time and direction around the marvelous domes. Watch the seagulls search for food off the banks of the Bosporus, or cross over to the Asian side on the upper deck of a ship, while enjoying a cup of the famous Turkish tea.","Enjoy losing the sense of time and direction around the marvelous domes. Watch the seagulls search for food off the banks of the Bosporus, or cross over to the Asian side on the upper deck of a ship, while enjoying a cup of the famous Turkish tea.",1/7/13,NAIL SALON DUBAI,FALSE,published,4
,,,,,,,,
Google Chrome Cast 2 Black,Madhurhi Dixit,"To succeed, you need to find something to hold on to, something to motivate you, something to inspire you. Read more at: https://www.brainyquote.com/topics/inspire","To succeed, you need to find something to hold on to, something to motivate you, something to inspire you. Read more at: https://www.brainyquote.com/topics/inspire",1/2/13,BEST HAIR SALON DUBAI,TRUE,published,2
Google Home Mini Smart Speaker G201AS2,Maneesha Koirala,"To succeed, you need to find something to hold on to, something to motivate you, something to inspire you. Read more at: https://www.brainyquote.com/topics/inspire","To succeed, you need to find something to hold on to, something to motivate you, something to inspire you. Read more at: https://www.brainyquote.com/topics/inspire",1/3/13,BEAUTY SALON DUBAI PRICE LIST,FALSE,unpublished,3
Microsoft Surface Pro 4 Tablet,Vidya Balan,"To succeed, you need to find something to hold on to, something to motivate you, something to inspire you. Read more at: https://www.brainyquote.com/topics/inspire","To succeed, you need to find something to hold on to, something to motivate you, something to inspire you. Read more at: https://www.brainyquote.com/topics/inspire",1/4/13,BEAUTY SALON DUBAI PRICE LIST,TRUE,published,1
Special fares with Kuwait Airways!,Mohanlal,Take advantage of low fares with Kuwait Airways to top destinations starting from AED 665!,Take advantage of low fares with Kuwait Airways to top destinations starting from AED 665!,1/5/13,NAIL SALON DUBAI,FALSE,published,4
Pakistani airlines now available at tajawal! Book now!,Sreevidya,"Air Blue, Pakistan International Airlines and Shaheen Air are now available to book at tajawal!","Air Blue, Pakistan International Airlines and Shaheen Air are now available to book at tajawal!",1/6/13,DUBAI BEAUTY SALON DEALS,FALSE,published,4
Special DEEWALI Fares with Indian Airlines,Kamal Hassan,"Enjoy losing the sense of time and direction around the marvelous domes. Watch the seagulls search for food off the banks of the Bosporus, or cross over to the Asian side on the upper deck of a ship, while enjoying a cup of the famous Turkish tea.","Enjoy losing the sense of time and direction around the marvelous domes. Watch the seagulls search for food off the banks of the Bosporus, or cross over to the Asian side on the upper deck of a ship, while enjoying a cup of the famous Turkish tea.",1/7/13,DUBAI BEAUTY SALON PACKAGES,FALSE,published,4